Quote,Author
"The novel is... the greatest enemy of truth and honesty that was ever invented. It’s a vast, sentimentalizing structure that reassures the reader and at every point offers the comfort of secure moral frameworks and recognizable characters. ...the main function of the novel was to carry out a kind of moral criticism of life. But the writer has no business making moral judgments or trying to set himself up as a one-man or one-woman magistrate’s court. I think it’s far better, as Burroughs did and I’ve tried to do in my small way, to tell the truth.","JG Ballard"
"Our lives today are not conducted in linear terms. They are much more quantified; a stream of random events is taking place.","JG Ballard"
"All over the world major museums have bowed to the influence of Disney and become theme parks in their own right. The past, whether Renaissance Italy or ancient Egypt, is reassimilated and homogenized into its most digestible form. Desperate for the new, but disappointed with anything but the familiar, we recolonise past and future. The same trend can be seen in personal relationships, in the way people are expected to package themselves, their emotions and sexuality in attractive and instantly appealing forms.","JG Ballard"
"Everything is becoming science fiction. From the margins of an almost invisible literature has sprung the intact reality of the 20th century.","JG Ballard"
"The cine-camera and television set allow us to perceive slow motion. The concept of anything other than real time had never occurred to anybody until the first slow-motion movies were shown, and this radically altered people's perceptions of nature.","JG Ballard"
"In wartime Shanghai I saw so many horrors... Civilised life is based on a huge number of illusions in which we all collaborate willingly. The trouble is, we forget after a while that they are illusions and we are deeply shocked when reality is torn down around us.","JG Ballard"
"We live in a world ruled by fictions of every kind ― mass merchandising, advertising, politics conducted as a branch of advertising, the instant translation of science and technology into popular imagery, the increasing blurring and intermingling of identities within the realm of consumer goods, the preempting of any free or original imaginative response to experience by the television screen. We live inside an enormous novel. For the writer in particular it is less and less necessary for him to invent the fictional content of his novel. The fiction is already there. The writer's task is to invent the reality.","JG Ballard"
"Human beings today ... are surrounded by huge institutions we can never penetrate: the City [London's Wall Street], the banking system, political and advertising conglomerates, vast entertainment enterprises. They've made themselves user friendly, but they define the tastes to which we conform. They're rather subtle, subservient tyrants, but no less sinister for that.","JG Ballard"
"No sensible decision can be made any longer without taking into account not only the world as it is, but the world as it will be.","Isaac Asimov"
"Words are like money ... it is the stamp of custom alone that gives them circulation or value.","William Hazlitt"
"The more the universe seems comprehensible, the more it also seems pointless.","Steven Weinberg"
"Solitude has but one disadvantage; it is apt to give one too high an opinion of one's self. In the world we are sure to be often reminded of every known or supposed defect we may have.","Lord Byron"
"In my youth I thought of writing a satire on mankind; but now in my age I think I should write an apology for them.","Horace Walpole"
"Keeping a journal is a lonely man's habit, it betrays the vices of introspection and social withdrawal, even a kind of Narcissism... It has certain things to recommend it, it keeps a recorded continuity between his past and present selves, it gives him the comforting reassurance that shocks, defeats, disappointments are all snowed under by the pages and pages of new experience that still keep flaking down over him as be continues through time, and promises that this comforting snowfall of obliteration will go right on as long as be himself keeps going.","Tennessee Williams"
"Perhaps I was never meant to exist at all, but if I hadn't, a number of my created beings would have been denied their passionate existence. ...I am observing my life and the approaching conclusion of my life and I see a long, long stretch of desolation about me, now at the end. Or will I yet survive? In what condition, under what circumstance? ... The best I can say for myself is that I worked like hell.","Tennessee Williams"
"The best armor is to keep out of gunshot.","Francis Bacon"
"The causes of events are ever more interesting than the events themselves.","Marcus Tullius Cicero"
"Truth shines the brighter clad in verse.","Jonathan Swift"
"Isn't it enough to see that a garden is beautiful without having to believe that there are fairies at the bottom of it too?","Douglas Adams"
"Just think of the tragedy of teaching children not to doubt.","Clarence Darrow"
"Think about this; think about how stupid the average person is, and then realize that half of 'em are stupider than that.","George Carlin"
"'One thing leads to another'? Not always. Sometimes one thing leads to the same thing. Ask an addict.","George Carlin"
"People who see life as anything more than pure entertainment are missing the point.","George Carlin"
"For a while, I thought of myself as an atheist until I realized it was a belief, too. It's a shame everything has to have a label.","George Carlin"
"You know, if you're an American and you're born at this time in history especially, you're lucky. We all are. We won the world history Powerball lottery, but a little modesty about it might keep the heat off of us. I can't stand the people who say things like, 'We built this country!' You built nothing. I think the railroads were pretty much up by 1980.","Bill Maher"
"What is character but the determination of incident? / What is incident but the illustration of character?","Henry James"
"When you write a story, you're telling yourself the story... When you rewrite, your main job is taking out all the things that are not the story.","Stephen King"
"I'm convinced that fear is at the root of most bad writing.","Stephen King"
"If you want to be a writer, you must do two things above all others: read a lot and write a lot.","Stephen King"
"Life isn't about finding yourself. Life is about creating yourself.","George Bernard Shaw"
"Death must be so beautiful. To lie in the soft brown earth, with the grasses waving above one's head, and listen to silence. To have no yesterday, and no tomorrow. To forget time, to forgive life, to be at peace.","Oscar Wilde"
"The truth comes as conqueror only because we have lost the art of receiving it as guest.","Rabindranath Tagore"
"All poetry is supposed to be instructive but in an unnoticeable manner; it is supposed to make us aware of what it would be valuable to instruct ourselves in; we must deduce the lesson on our own, just as with life.","Johann Wolfgang von Goethe"
"Who is the happiest of men? He who values the merits of others, // And in their pleasure takes joy, even as though 'twere his own.","Johann Wolfgang von Goethe"
"I'm afraid of losing my obscurity. Genuineness only thrives in the dark. Like celery.","Aldous Huxley"
"Experience is not what happens to a man; it is what a man does with what happens to him.","Aldous Huxley"
"Most human beings have an almost infinite capacity for taking things for granted.","Aldous Huxley"
"It is a bit embarrassing to have been concerned with the human problem all one's life and find at the end that one has no more to offer by way of advice than 'Try to be a little kinder.'","Aldous Huxley"
"To see ourselves as others see us is a most salutary gift. Hardly less important is the capacity to see others as they see themselves.","Aldous Huxley"
"Human judges can show mercy. But against the laws of nature, there is no appeal.","Arthur C Clarke"
"One of the biggest roles of science fiction is to prepare people to accept the future without pain and to encourage a flexibility of mind. Politicians should read science fiction, not westerns and detective stories.","Arthur C Clarke"
"The greatest tragedy in mankind's entire history may be the hijacking of morality by religion.","Arthur C Clarke"
"We are all atheists about most of the gods that societies have ever believed in. Some of us just go one god further.","Richard Dawkins"
"One of the pleasant frustrations of modern life is that there are far more good books out there than any of us have time to read.","Stephen Walt"
"If I could be sure of doing with my books as much as my [doctor] father did for the sick!","Marcel Proust"
"The saddest aspect of life right now is that science gathers knowledge faster than society gathers wisdom.","Isaac Asimov"
"The long run is a misleading guide to current affairs. In the long run we are all dead.","John Maynard Keynes"
"When the accumulation of wealth is no longer of high social importance, there will be great changes in the code of morals. ...The love of money as a possession - as distinguished from the love of money as a means to the enjoyments and realities of life - will be recognised for what it is, a somewhat disgusting morbidity, one of those semi-criminal, semi-pathological propensities which one hands over with a shudder to the specialists in mental disease... But beware! The time for all this is not yet. For at least another hundred years we must pretend to ourselves and to everyone that fair is foul and foul is fair; for foul is useful and fair is not. Avarice and usury and precaution must be our gods for a little longer still.","John Maynard Keynes"
"The difficulty lies, not in [developing] new ideas, but in escaping from the old ones.","John Maynard Keynes"
"A decent provision for the poor is the true test of civilisation.","Samuel Johnson"
"In the struggle between yourself and the world second the world.","Franz Kafka"
"Literature becomes the living memory of a nation.","Alexander Solzhenitsyn"
"One can promise actions, but not feelings, for the latter are involuntary. He who promises to love forever or hate forever or be forever faithful to someone is promising something that is not in his power.","Friedrich Wilhelm Nietzsche"
"A great book should leave you with many experiences, and slightly exhausted at the end. You live several lives while reading it.","William Styron"
"Nations have recently been led to borrow billions for war; no nation has ever borrowed largely for education. Probably, no nation is rich enough to pay for both war and civilization. We must make our choice; we cannot have both.","Abraham Flexner"
"Man can do what he wants but he cannot want what he wants.","Arthur Schopenhauer"
"Life is a business that does not cover the costs.","Arthur Schopenhauer"
"Honor has not to be won; it must only not be lost.","Arthur Schopenhauer"
"The brain may be regarded as a kind of parasite of the organism, a pensioner, as it were, who dwells with the body.","Arthur Schopenhauer"
"Every nation mocks at other nations, and all are right.","Arthur Schopenhauer"
"Mostly it is loss which teaches us about the worth of things.","Arthur Schopenhauer"
"The cheapest form of pride... is national pride. For it betrays in the one thus afflicted the lack of individual qualities of which he could be proud, while he would not otherwise reach for what he shares with so many millions. He who possesses significant personal merits will rather recognise the defects of his own nation, as he has them constantly before his eyes, most clearly. But that poor beggar who has nothing in the world of which he can be proud, latches onto the last means of being proud, the nation to which he belongs to. Thus he recovers and is now in gratitude ready to defend with hands and feet all errors and follies which are its own.","Arthur Schopenhauer"
"Money is human happiness in the abstract: he, then, who is no longer capable of enjoying human happiness in the concrete devotes his heart entirely to money.","Arthur Schopenhauer"
"To free a man from error is to give, not to take away. Knowledge that a thing is false is a truth. Error always does harm; sooner or later it will bring mischief to the man who harbors it. Then give up deceiving people; confess ignorance of what you don't know, and leave everyone to form his own articles of faith for himself. Perhaps they won't turn out so bad, especially as they'll rub one another's corners down, and mutually rectify mistakes. The existence of many views will at any rate lay a foundation of tolerance. Those who possess knowledge and capacity may betake themselves to the study of philosophy, or even in their own persons carry the history of philosophy a step further.","Arthur Schopenhauer"
"One must choose one's enemies carefully, as one ends up resembling them.","Jorge Luis Borges"
"One is in love when one realizes that the other person is unique.","Jorge Luis Borges"
"If one looks with a cold eye at the mess man has made of history, it is difficult to avoid the conclusion that he has been afflicted by some built-in mental disorder which drives him towards self-destruction.","Arthur Koestler"
"Even a cursory glance at history should convince one that individual crimes committed for selfish motives play a quite insignificant part in the human tragedy, compared to the numbers massacred in unselfish loyalty to one’s tribe, nation, dynasty, church, or political ideology, ad majorem gloriam dei. The emphasis is on unselfish. Excepting a small minority of mercenary or sadistic disposition, wars are not fought for personal gain, but out of loyalty and devotion to king, country or cause. Homicide committed for personal reasons is a statistical rarity in all cultures, including our own. Homicide for unselfish reasons, at the risk of one’s own life, is the dominant phenomenon of history.","Arthur Koestler"
"The inner censor of the mind of the true believer completes the work of the public censor; his self-discipline is as tyrannical as the obedience imposed by the regime; he terrorizes his own conscience into submission; he carries his private Iron Curtain inside his skull, to protect his illusions against the intrusion of reality.","Arthur Koestler"
"Modern man lives isolated in his artificial environment, not because the artificial is evil as such, but because of his lack of comprehension of the forces which make it work- of the principles which relate his gadgets to the forces of nature, to the universal order. It is not central heating which makes his existence ‘unnatural,’ but his refusal to take an interest in the principles behind it. By being entirely dependent on science, yet closing his mind to it, he leads the life of an urban barbarian.","Arthur Koestler"
"The prerequisite of originality is the art of forgetting, at the proper moment, what we know.","Arthur Koestler"
"The more one suffers, the more, I believe, one has a sense of the comic. It is only by the deepest suffering that one acquires the authority in the art of the comic.","Soren Kierkegaard"
"To be a teacher does not mean simply to affirm that such a thing is so, or to deliver a lecture, etc. No, to be a teacher in the right sense is to be a learner. Instruction begins when you, the teacher, learn from the learner, put yourself in his place so that you may understand what he understands and the way he understands it.","Soren Kierkegaard"
"The presence of irony does not necessarily mean that the earnestness is excluded. Only assistant professors assume that.","Soren Kierkegaard"
"Life can only be understood backwards; but it must be lived forwards.","Soren Kierkegaard"
"The tyrant dies and his rule is over; the martyr dies and his rule begins.","Soren Kierkegaard"
"Language is not an abstract construction of the learned, or of dictionary makers, but is something arising out of the work, needs, ties, joys, affections, tastes, of long generations of humanity, and has its bases broad and low, close to the ground.","Noah Webster"
"Live a good life. If there are gods and they are just, they will not care how devout you have been, but will welcome you based on the virtues you have lived by. If there are gods, but unjust, then you should not want to worship them. If there are no gods, then you will be gone, but will have lived a noble life that will live on in the memories of your loved ones.","Marcus Aurelius"
"Any advertisement in public space that gives you no choice whether you see it or not is yours. It belongs to you. It's yours to take, re-arrange, and re-use. Asking for permission is like asking to keep a rock someone just threw at your head.","Banksy"
"It is necessary to the happiness of man that he be mentally faithful to himself. Infidelity does not consist in believing, or in disbelieving; it consists in professing to believe what he does not believe.","Thomas Paine"
"Is man one of God's blunders or is God one of man's?","Friedrich Nietzsche"
"American life is a powerful solvent. It seems to neutralize every intellectual element, however tough and alien it may be, and to fuse it in the native good will, complacency, thoughtlessness, and optimism.","George Santayana"
"They [the wise spirits of antiquity in the first circle of Dante's Inferno] are condemned, Dante tells us, to no other penalty than to live in desire without hope, a fate appropriate to noble souls with a clear vision of life.","George Santayana"
"Fanaticism consists in redoubling your efforts when you have forgotten your aim.","George Santayana"
"Perhaps the only true dignity of man is his capacity to despise himself.","George Santayana"
"The world is a perpetual caricature of itself; at every moment it is the mockery and the contradiction of what it is pretending to be.","George Santayana"
"There is no cure for birth and death save to enjoy the interval.","George Santayana, philosopher"
"I like to walk about amidst the beautiful things that adorn the world; but private wealth I should decline, or any sort of personal possessions, because they would take away my liberty.","George Santayana"
"Only the dead have seen the end of war.","George Santayana"
"The Earth is a very small stage in a vast cosmic arena. Think of the rivers of blood spilled by all those generals and emperors so that, in glory and triumph, they could become the momentary masters of a fraction of a dot. Think of the endless cruelties visited by the inhabitants of one corner of this pixel on the scarcely distinguishable inhabitants of some other corner, how frequent their misunderstandings, how eager they are to kill one another, how fervent their hatreds.","Carl Sagan"
"What can be asserted without proof can be dismissed without proof.","Christopher Hitchens"
"There are no passengers on spaceship earth. We are all crew.","Marshall McLuhan"
"The only way human beings can win a war is to prevent it.","George Marshall"
"Sometimes, exhausted / with toil and endeavour, / I wish I could sleep / for ever and ever; / but then this reflection / my longing allays: / I shall be doing it / one of these days.","Piet Hein"
"Religions, which condemn the pleasures of sense, drive men to seek the pleasures of power. Throughout history power has been the vice of the ascetic.","Bertrand Russell"
"Many orthodox people speak as though it were the business of sceptics to disprove received dogmas rather than of dogmatists to prove them. This is, of course, a mistake. If I were to suggest that between the Earth and Mars there is a china teapot revolving about the sun in an elliptical orbit, nobody would be able to disprove my assertion provided I were careful to add that the teapot is too small to be revealed even by our most powerful telescopes. But if I were to go on to say that, since my assertion cannot be disproved, it is intolerable presumption on the part of human reason to doubt it, I should rightly be thought to be talking nonsense. If, however, the existence of such a teapot were affirmed in ancient books, taught as the sacred truth every Sunday, and instilled into the minds of children at school, hesitation to believe in its existence would become a mark of eccentricity and entitle the doubter to the attentions of the psychiatrist in an enlightened age or of the Inquisitor in an earlier time.","Bertrand Russell"
"Wherever one finds oneself inclined to bitterness, it is a sign of emotional failure: a larger heart, and a greater self-restraint, would put a calm autumnal sadness in the place of the instinctive outcry of pain.","Bertrand Russell"
"I cannot believe - and I say this with all the emphasis of which I am capable - that there can ever be any good excuse for refusing to face the evidence in favour of something unwelcome. It is not by delusion, however exalted, that mankind can prosper, but only by unswerving courage in the pursuit of truth.","Bertrand Russell"
"A process which led from the amœba to man appeared to the philosophers to be obviously a progress - though whether the amœba would agree with this opinion is not known.","Bertrand Russell"
"Those who forget good and evil and seek only to know the facts are more likely to achieve good than those who view the world through the distorting medium of their own desires.","Bertrand Russell"
"An extra-terrestrial philosopher, who had watched a single youth up to the age of twenty-one and had never come across any other human being, might conclude that it is the nature of human beings to grow continually taller and wiser in an indefinite progress towards perfection; and this generalisation would be just as well founded as the generalisation which evolutionists base upon the previous history of this planet.","Bertrand Russell"
"In adolescence, I hated life and was continually on the verge of suicide... Now, on the contrary, I enjoy life; I might almost say that with every year that passes I enjoy it more... very largely it is due to a diminishing preoccupation with myself. Like others who had a Puritan education, I had the habit of meditating on my sins, follies, and shortcomings. I seemed to myself - no doubt justly - a miserable specimen. Gradually I learned to be indifferent to myself and my deficiencies; I came to centre my attention increasingly upon external objects: the state of the world, various branches of knowledge, individuals for whom I felt affection.","Bertrand Russell"
"Conventional people are roused to fury by departures from convention, largely because they regard such departures as a criticism of themselves.","Bertrand Russell"
"The fundamental concept in social science is Power, in the same sense in which Energy is the fundamental concept in physics.","Bertrand Russell"
"To acquire immunity to eloquence is of the utmost importance to the citizens of a democracy.","Bertrand Russell"
"After ages during which the earth produced harmless trilobites and butterflies, evolution progressed to the point at which it generated Neros, Genghis Khans, and Hitlers. This, however, is a passing nightmare; in time the earth will become again incapable of supporting life, and peace will return.","Bertrand Russell"
"The Christian ideal has not been tried and found wanting. It has been found difficult and left untried.","G.K. Chesterton"
"In the Beginning, the Universe was created. This has made a lot of people very angry and has been widely regarded as a bad move.","Douglas Adams"
"If I were granted omnipotence, and millions of years to experiment in, I should not think Man much to boast of as the final result of all my efforts.","Bertrand Russell"
"Standard English is a convenient abstraction, like the average man.","Geroge Leslie Brook"
"Poetry is a purging of the world's poverty and change and evil and death. It is a present perfecting, a satisfaction in the irremediable poverty of life.","Wallace Stevens"
"Nobody realizes that some people expend tremendous energy merely to be normal.","Albert Camus"
"There is always a philosophy for lack of courage.","Albert Camus"
"The greatest saving one can make in the order of thought is to accept the unintelligibility of the world - and to pay attention to man.","Albert Camus"
"Homo sapiens is the species that invents symbols in which to invest passion and authority, then forgets that symbols are inventions.","Joyce Carol Oates"
"Men rarely (if ever) managed to dream up a god superior to themselves. Most gods have the manners and morals of a spoiled child.","Robert A. Heinlein"
"If people are good only because they fear punishment, and hope for reward, then we are a sorry lot indeed.","Albert Einstein"
"True teachers are those who use themselves as bridges over which they invite their students to cross; then, having facilitated their crossing, joyfully collapse, encouraging them to create their own.","Nikos Kazantzakis"
"He that uses many words for explaining any subject, doth, like the cuttlefish, hide himself for the most part in his own ink.","John Ray"
"The human mind is inspired enough when it comes to inventing horrors; it is when it tries to invent a heaven that it shows itself cloddish.","Evelyn Waugh"
"Don't give your opinions about Art and the Purpose of Life. They are of little interest and, anyway, you can't express them. Don't analyze yourself. Give the relevant facts and let your readers make their own judgments. Stick to your story. It is not the most important subject in history but it is one about which you are uniquely qualified to speak.","Evelyn Waugh"
"I don't believe that people would ever fall in love or want to be married if they hadn't been told about it. It's like abroad: no one would want to go there if they hadn't been told it existed.","Evelyn Waugh"
"I react pragmatically. Where the market works, I'm for that. Where the government is necessary, I'm for that. I'm deeply suspicious of somebody who says, 'I'm in favor of privatization,' or, 'I'm deeply in favor of public ownership.' I'm in favor of whatever works in the particular case.","John Kenneth Galbraith"
"I believe in evidence. I believe in observation, measurement, and reasoning, confirmed by independent observers. I'll believe anything, no matter how wild and ridiculous, if there is evidence for it. The wilder and more ridiculous something is, however, the firmer and more solid the evidence will have to be.","Isaac Asimov"
"A gun gives you the body, not the bird.","Henry David Thoreau"
"Cautious, careful people, always casting about to preserve their reputation and social standing, never can bring about a reform. Those who are really in earnest must be willing to be anything or nothing in the world's estimation.","Susan B. Anthony"
"One owes respect to the living. To the dead, one owes only the truth.","Voltaire"
"One need not hope in order to undertake, nor succeed in order to persevere.","William the Silent"
"Don't let them tell us stories. Don't let them say of the man sentenced to death 'He is going to pay his debt to society,' but: 'They are going to cut off his head.' It looks like nothing. But it does make a little difference.","Albert Camus"
"There is no fate that can not be surmounted by scorn.","Albert Camus"
"'I conclude that all is well,' says Oedipus, and that remark is sacred. It echoes in the wild and limited universe of man. It teaches that all is not, has not been, exhausted. It drives out of this world a god who had come into it with dissatisfaction and a preference for futile suffering. It makes of fate a human matter, which must be settled among men. ...Sisyphus teaches the higher fidelity that negates the gods and raises rocks. He too concludes that all is well. This universe henceforth without a master seems to him neither sterile nor futile. Each atom of that stone, each mineral flake of that night-filled mountain, in itself forms a world. The struggle itself toward the heights is enough to fill a man's heart. One must imagine Sisyphus happy.","Albert Camus"
"Query: How to contrive not to waste one's time? Answer: By being fully aware of it all the while. Ways in which this can be done: By spending one's days on an uneasy chair in a dentist's waiting room; by remaining on one's balcony all a Sunday afternoon; by travelling by the longest and least-convenient train routes, and of course standing all the way; by queueing at the box-office of theatres and then not booking a seat.","Albert Camus"
"Having money is a way of being free of money.","Albert Camus"
"He marveled at the strange blindness by which men, though they are so alert to what changes in themselves, impose on their friends an image chosen for them once and for all.","Albert Camus"
"I contend that we are both atheists. I just believe in one fewer god than you do. When you understand why you dismiss all the other possible gods, you will understand why I dismiss yours.","Stephen Roberts"
"Inspiration is not the exclusive privilege of poets or artists. There is, there has been, there will always be a certain group of people whom inspiration visits. It's made up of all those who've consciously chosen their calling and do their job with love and imagination. It may include doctors, teachers, gardeners - I could list a hundred more professions. Their work becomes one continuous adventure as long as they manage to keep discovering new challenges in it. Difficulties and setbacks never quell their curiosity. A swarm of new questions emerges from every problem that they solve. Whatever inspiration is, it's born from a continuous 'I don't know.","Wislawa Szymborska"
"The world - whatever we might think when terrified by its vastness and our own impotence, or embittered by its indifference to individual suffering, of people, animals, and perhaps even plants, for why are we so sure that plants feel no pain; whatever we might think of its expanses pierced by the rays of stars surrounded by planets we've just begun to discover, planets already dead? still dead? we just don't know; whatever we might think of this measureless theater to which we've got reserved tickets, but tickets whose lifespan is laughably short, bounded as it is by two arbitrary dates; whatever else we might think of this world - it is astonishing.","Wislawa Szymborska"
"Not long ago, if you wanted to seize political power in a country you had merely to control the army and the police. Today it is only in the most backward countries that fascist generals, in carrying out a coup d'état, still use tanks. If a country has reached a high degree of industrialization the whole scene changes. The day after the fall of Khrushchev, the editors of Pravda, Izvestiia, the heads of the radio and television were replaced; the army wasn't called out. Today a country belongs to the person who controls communications.","Umberto Eco"
"Semiotics is in principle the discipline studying everything which can be used in order to lie. If something cannot be used to tell a lie, conversely it cannot be used to tell the truth: it cannot in fact be used 'to tell' at all.","Umberto Eco"
"The real hero is always a hero by mistake; he dreams of being an honest coward like everybody else. If it had been possible he would have settled the matter otherwise, and without bloodshed. He doesn't boast of his own death or of others'. But he does not repent. He suffers and keeps his mouth shut; if anything, others then exploit him, making him a myth, while he, the man worthy of esteem, was only a poor creature who reacted with dignity and courage in an event bigger than he was.","Umberto Eco"
"Language is the armoury of the human mind; and at once contains the trophies of its past, and the weapons of its future conquests.","Samuel Taylor Coleridge"
"Every man is a creature of the age in which he lives, and few are able to raise themselves above the ideas of the time.","Voltaire"
"I need someone to protect me from all the measures they take in order to protect me.","Banksy"
"A human being should be able to change a diaper, plan an invasion, butcher a hog, conn a ship, design a building, write a sonnet, balance accounts, build a wall, set a bone, comfort the dying, take orders, give orders, cooperate, act alone, solve equations, analyze a new problem, pitch manure, program a computer, cook a tasty meal, fight efficiently, die gallantly. Specialization is for insects.","Robert A. Heinlein"
"I am I plus my surroundings and if I do not preserve the latter, I do not preserve myself.","Jose Ortega Y Gasset"
"I don't hate my enemies. After all, I made 'em.","Red Skelton"
"They are happy men whose natures sort with their vocations.","Francis Bacon"
"Pride, like laudanum and other poisonous medicines, is beneficial in small, though injurious in large, quantities. No man who is not pleased with himself, even in a personal sense, can please others.","Frederick Saunders"
"The living language is like a cow-path: it is the creation of the cows themselves, who, having created it, follow it or depart from it according to their whims or their needs. From daily use, the path undergoes change. A cow is under no obligation to stay.","E.B. White"
"Meditation and water are wedded for ever.","Herman Melville"
"It is better to fail in originality, than to succeed in imitation. He who has never failed somewhere, that man can not be great. Failure is the true test of greatness.","Herman Melville"
"Silence is the general consecration of the universe... Silence is at once the most harmless and the most awful thing in all nature. It speaks of the Reserved Forces of Fate. Silence is the only Voice of our God.","Herman Melville"
"Solitudinem faciunt, pacem appellant (they make a desert, and call it peace)","Tacitus"
"The desire for glory clings even to the best men longer than any other passion.","Tacitus"
"Parit enim conversatio contemptum; raritas conciliat admirationem. (Familiarity breeds contempt, but privacy gains admiration.)","Lucius Apuleius"
"Truth, in matters of religion, is simply the opinion that has survived.","Oscar Wilde"
"...dum loquimur, fugerit invida / aetas: carpe diem, quam minimum credula postero. (As we speak cruel time is fleeing. Seize the day, believing as little as possible in the morrow.)","Horace"
"Aequam memento rebus in arduis / servare mentem. (In adversity, remember to keep an even mind.)","Horace"
"Nam tua res agitur, paries cum proximus ardet. (It is your concern when your neighbor's wall is on fire.)","Horace"
"Fame opportunely despised often comes back redoubled.","Livy"
"Oderint Dum Metuant (Let them hate, so long as they fear.)","Lucius Accius"
"Conceal a flaw, and the world will imagine the worst.","Martial"
"Virtue extends our days: he lives two lives who relives his past with pleasure.","Martial"
"Prisca iuvent alios: ego me nunc denique natum gratulor (Let others praise ancient times; I am glad I was born in these.)","Ovid"
"Man is the only one that knows nothing, that can learn nothing without being taught. He can neither speak nor walk nor eat, and in short he can do nothing at the prompting of nature only, but weep.","Pliny the Elder"
"The best plan is to profit by the folly of others.","Pliny the Elder"
"An object in possession seldom retains the same charm that it had in pursuit.","Pliny the Younger"
"Namque pauci libertatem, pars magna iustos dominos volunt (Few men desire freedom, the greater part desire just masters.)","Sallust"
"Magni pectoris est inter secunda moderatio. (It is the sign of a great spirit to be moderate in prosperity.)","Marcus Annaeus Seneca"
"Vivamus, moriendum est. (Let us live – we must die.)","Marcus Annaeus Seneca"
"Ignoranti quem portum petat nullus suus ventus est. (If one does not know to which port one is sailing, no wind is favourable.)","Lucius Annaeus Seneca"
"Aut potentior te aut inbecillior laesit: si inbecillior, parce illi, si potentior, tibi. (He who has injured thee was stronger or weaker than thee. If weaker, spare him; if stronger, spare thyself.)","Lucius Annaeus Seneca"
"Non qui parum habet, sed qui plus cupit, pauper est. (It is not the man who has too little, but the man who craves more, that is poor.)","Lucius Annaeus Seneca"
"Audacibus annue coeptis (Look with favor upon a bold beginning.)","Virgil"
"You desire to know the art of living, my friend? It is contained in one phrase: make use of suffering.","Henri Frederic Amiel"
"There is no excellent beauty that hath not some strangeness in the proportion.","Francis Bacon"
"Although a democracy must often fight with one hand tied behind its back, it nonetheless has the upper hand.","Aharon Barak"
"In all life one should comfort the afflicted, but verily, also, one should afflict the comfortable, and especially when they are comfortably, contentedly, even happily wrong.","John Kenneth Galbraith"
"Writing is like driving a car at night. You can only see as far as the headlights, but you make the whole trip that way.","E.L. Doctorow"
"An inconvenience is only an adventure wrongly considered; an adventure is an inconvenience rightly considered.","G.K. Chesterton"
"Moderate strength is shown in violence, supreme strength is shown in levity.","G.K. Chesterton"
"I believe what really happens in history is this: the old man is always wrong; and the young people are always wrong about what is wrong with him. The practical form it takes is this: that, while the old man may stand by some stupid custom, the young man always attacks it with some theory that turns out to be equally stupid.","G.K. Chesterton"
"To have a right to do a thing is not at all the same as to be right in doing it.","G.K. Chesterton"
"The comedy of man survives the tragedy of man.","G.K. Chesterton"
"Tradition means giving votes to the most obscure of all classes, our ancestors. It is the democracy of the dead. Tradition refuses to submit to that arrogant oligarchy who merely happen to be walking around.","G.K. Chesterton"
"The only defensible war is a war of defense.","G.K. Chesterton"
"There cannot be a nation of millionaires, and there never has been a nation of Utopian comrades; but there have been any number of nations of tolerably contented peasants.","G.K. Chesterton"
"It is hard to make government representative when it is also remote.","G.K. Chesterton"
"Too much capitalism does not mean too many capitalists, but too few capitalists.","G.K. Chesterton"
"The real argument against aristocracy is that it always means the rule of the ignorant. For the most dangerous of all forms of ignorance is ignorance of work.","G.K. Chesterton"
"Walking is man's best medicine.","Hippocrates"
"Nobody made a greater mistake than he who did nothing because he could do only a little.","Edmund Burke"
"There is nothing like returning to a place that remains unchanged to find the ways in which you yourself have altered.","Nelson Mandela"
"Boredom is the feeling that everything is a waste of time; serenity, that nothing is.","Thomas Szasz"
"Writing is a way of talking without being interrupted.","Jules Renard"
"Boredom is a vital problem for the moralist, since at least half of the sins of mankind are caused by the fear of it.","Bertrand Russell"
"Intolerance of ambiguity is the mark of an authoritarian personality.","Theodor Adorno"
"Creative activity could be described as a type of learning process where teacher and pupil are located in the same individual.","Arthur Koestler"
"Because we don't understand the brain very well we're constantly tempted to use the latest technology as a model for trying to understand it. In my childhood we were always assured that the brain was a telephone switchboard. (What else could it be?) And I was amused to see that Sherrington, the great British neuroscientist, thought that the brain worked like a telegraph system. Freud often compared the brain to hydraulic and electromagnetic systems. Leibniz compared it to a mill, and now, obviously, the metaphor is the digital computer.","John R. Searle"
"We judge ourselves by what we feel capable of doing, while others judge us by what we have already done.","Henry Wadsworth Longfellow"
"Once I ventured the guess that men worked in response to a vague inner urge for self-expression... An hypothesis with rather more plausibility in it now suggests itself. It is that men work simply in order to escape the depressing agony of contemplating life – that their work, like their play, is a mumbo-jumbo that serves them by permitting them to escape from reality... Man cannot sit still, contemplating his destiny in this world, without going frantic. So he invents ways to take his mind off the horror. He works. He plays. He accumulates the preposterous nothing called property. He strives for the coy eye-wink called fame. He founds a family and spreads his curse over others. All the while the thing that moves him is simply the yearning to lose himself, to forget himself, to escape the tragic-comedy that is himself. Life, fundamentally, is not worth living.","H.L. Mencken"
"Wanting to meet an author because you like his work is like wanting to meet a duck because you like paté.","Margaret Atwood"
"It ought to be plain / how little you gain / by getting excited / and vexed. / You'll always be late / for the previous train, / and always in time / for the next.","Piet Hein"
